read_id	alignment_direction	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_mapq
69b2c237-1d4b-48cf-84e7-b86761800a9d	+	chr1_Head	20987	21267	0
80f5170d-aad3-4154-b55a-95ae11d61161	+	chr1_Head	21022	21268	0
ea593148-4b5a-4606-8650-4c743b5d8972	-	chr1_Head	24130	24703	0
dc141981-dbb0-420f-ad3a-fde96d7591a7	+	chr1_Head	28464	28704	11
3be438b4-5f1d-4794-a48f-c242a27454fc	-	chr1_Head	49522	49835	0
4d22a731-93fc-48e2-a825-0352962b785f	+	chr1_Head	64244	64527	1
8c1d62d6-5589-4adb-a27c-001b3249befe	+	chr1_Head	64247	65304	0
54dc6430-63bb-40d5-b79d-04af727c80e1	-	chr1_Head	66889	67150	1
cc1a10ea-867d-4696-9dc2-e704a46235a8	+	chr1_Head	79884	80516	0
5dac4aab-a3b4-49a2-9c0c-c2e4fa724518	+	chr1_Head	80687	82469	0
0fae791c-e30c-413a-88da-9a003564bef4	-	chr1_Head	84616	84900	9
c83ffe9a-cebd-4577-8e5f-5a06e4b6cea8	+	chr1_Head	84623	84900	0
81e084c2-d196-4393-ac6e-6cb9b882729d	-	chr1_Head	96355	96571	0
3deea9c0-58d2-45a4-b507-acd0cf792fb8	+	chr1_Head	99433	99754	0
8ad96fb1-ad98-4a35-a1aa-abac6d48440f	+	chr1_Head	99436	105763	0
9b18cc1e-81f4-46a2-881b-e7900042d742	-	chr1_Head	100894	105856	0
0841c511-2755-4bae-a137-0040d8f41e44	-	chr1_Head	103820	105845	0
1b1493e2-19ea-41aa-ab0d-387b6aefc6b7	+	chr1_Head	105592	105857	0
e4c33489-dc77-442c-b2a9-d75b571b1681	-	chr1_Head	106615	107893	0
3bee6729-7a05-4f4f-950d-d9378b17fb3c	+	chr1_Head	134107	134434	1
f69f4181-378f-4448-8d63-382a81ba8f25	+	chr1_Head	134108	134430	0
7a2642d8-adc7-45c0-86ac-cf308d1a4671	-	chr1_Head	134108	134403	0
cb9f1492-7e33-48ed-a968-f56291e29c36	-	chr1_Head	134108	134414	0
46a1174a-be6e-4f3c-8078-d72bf78edd7f	-	chr1_Head	134123	134406	0
4800e5ff-ba84-40e6-88b1-acd5130b9006	+	chr1_Head	134126	134417	1
02bfb3ad-2d40-4828-bb25-44e1f76372b1	-	chr1_Head	134145	134406	0
bc331c7c-44b6-419f-b5c7-d2f65e950b4e	+	chr1_Head	142618	142839	5
80c61827-d5d0-477e-91e7-0428105fb0a5	-	chr1_Head	143387	143677	0
2ab2ae04-63ed-48df-8a01-3800b4154537	-	chr2_Head	41774	42197	10
b087dc75-3ae2-406b-a60b-e43ca7459cdc	-	chr2_Head	54277	54546	0
55a015d5-d220-45bf-9f34-0057829a7deb	+	chr2_Head	65885	66249	0
b43d7df0-8f63-42c7-b006-4e9718f63dec	+	chr2_Head	69451	69769	6
4eb51968-9360-468f-a92a-79bda3c66e60	-	chr2_Head	86241	88768	0
fd781713-af3d-4f65-80b9-cc21a5661dfa	+	chr2_Head	87010	88916	0
11077c45-b213-442e-b891-a4643ec7d187	-	chr2_Head	101617	101914	0
cb9f1492-7e33-48ed-a968-f56291e29c36	-	chr2_Head	101619	101922	4
d99fe13e-a3f6-4482-942e-01c6f1b80dde	-	chr2_Head	101629	101924	0
78d5cea0-b574-4a53-94eb-6ada99ae74ec	-	chr2_Head	131496	131883	0
45cdcd1e-4a3f-4ef0-a035-2d496fcc4919	+	chr2_Head	135802	136088	0
1b1493e2-19ea-41aa-ab0d-387b6aefc6b7	+	chr3_Head	31363	31405	5
3083def3-f431-4d95-9f93-8e00c157ace1	+	chr3_Head	37409	37791	0
264aad39-3f75-45fb-adf7-988df00e3937	+	chr3_Head	54362	54724	15
176db1e5-dd25-4031-be1b-6b98a3b90497	+	chr3_Head	76200	76507	0
0b285118-2cd1-45db-ae10-479f2ace4f51	-	chr3_Head	102159	102216	1
6e14c20a-571e-46b5-a093-5a83f6f20235	+	chr3_Head	118831	119102	0
54dc6430-63bb-40d5-b79d-04af727c80e1	+	chr3_Head	118832	119125	0
bd8fbcf7-74c2-4913-93e4-263f727d5d0f	+	chr3_Head	128459	128879	0
ccf77dae-395f-4109-a638-424ab035301d	+	chr4_Head	3728	3944	0
a6a23bf4-5a86-47b5-9a26-ac7f78e619b0	+	chr4_Head	5585	5988	0
a1b8ab51-3b05-4ea3-a51b-67d678abfd1a	-	chr4_Head	5615	5970	0
99985915-30e6-4aa0-92ad-ba88c29ba00f	+	chr4_Head	27208	28032	0
fe15c70a-ea8d-4b8d-95a7-38a82f82cb59	-	chr4_Head	33644	33826	0
a3694b65-9221-4a6c-ab70-f722edd6bcfc	+	chr4_Head	40357	40569	0
8c1d62d6-5589-4adb-a27c-001b3249befe	+	chr4_Head	43340	43579	0
c2af814b-5c19-46f1-9a18-4c8e37c02eff	+	chr4_Head	43640	43739	0
d2840f27-afa7-44e6-b996-618f584f38f1	+	chr4_Head	46462	46760	0
fd781713-af3d-4f65-80b9-cc21a5661dfa	+	chr4_Head	74157	74460	2
fad75de4-ecb7-458f-b152-4a4be47b96f6	-	chr4_Head	74157	74406	24
576019ff-8ba9-4e12-81f0-86014c171132	+	chr4_Head	76186	76443	0
cddb222b-3217-42b1-af19-a48967bd1ab9	-	chr4_Head	76186	76472	0
b4f45cf4-bb67-4ad0-ad65-0cc14516b7a2	+	chr4_Head	83883	84075	0
cddb222b-3217-42b1-af19-a48967bd1ab9	+	chr4_Head	92292	92529	0
0fae791c-e30c-413a-88da-9a003564bef4	-	chr4_Head	118938	119227	0
dc141981-dbb0-420f-ad3a-fde96d7591a7	-	chr4_Head	120185	120479	2
525f76f8-a357-40c7-a456-b3017440ef11	-	chr4_Head	120187	120448	0
d99fe13e-a3f6-4482-942e-01c6f1b80dde	+	chr4_Head	125001	125288	0
6e14c20a-571e-46b5-a093-5a83f6f20235	-	chr4_Head	125016	125288	0
5dac4aab-a3b4-49a2-9c0c-c2e4fa724518	-	chr4_Head	144020	144357	0
81742d15-1965-4820-8891-57d4d0700791	-	chr4_Head	145330	146070	0
bd8fbcf7-74c2-4913-93e4-263f727d5d0f	-	chr5_Head	11631	12126	0
e8f21d0a-9b09-4355-8c2c-2230324c9a3f	+	chr5_Head	15491	16530	60
88efa954-ae85-475e-828e-2a734d4cbb58	-	chr5_Head	15491	16138	60
5e1b3846-6d42-4aac-8221-d9dfd3400f61	+	chr5_Head	23285	24194	0
2ab2ae04-63ed-48df-8a01-3800b4154537	+	chr5_Head	23576	23862	2
6828bfef-dc58-4509-ac43-ef58ec5da724	+	chr5_Head	23617	23922	0
55748afc-9646-4dde-860f-eef210ede57d	+	chr5_Head	23703	24213	0
4d6074ae-b84d-4d83-87fe-ac1271ffc7b8	-	chr5_Head	48423	54552	49
fd781713-af3d-4f65-80b9-cc21a5661dfa	-	chr5_Head	48433	50340	0
4eb51968-9360-468f-a92a-79bda3c66e60	+	chr5_Head	48570	51099	0
