Serial,sequence_ID,sequence_length,telo_density,Telomere_start,Telomere_end,Telomere_length,telo_density_mismatch,Telomere_start_mismatch,Telomere_end_mismatch,Telomere_length_mismatch,telo_density_mismatch_tvr,Telomere_start_mismatch_tvr,Telomere_end_mismatch_tvr,Telomere_length_mismatch_tvr
1,597f7a6e-2d7f-4edc-81b8-712f1fd53649	qs:f:17.497772	mx:i:2	ch:i:1034	rn:i:4	st:Z:2026-04-30T18:23:27.600209+03:00	ns:i:17925	ts:i:10	sm:f:93.6924	sd:f:23.506744	sv:Z:pa	du:f:3.585	dx:i:0	RG:Z:75a80abf-3a02-4ed1-8549-61876b6c5094_dna_r10.4.1_e8.2_400bps_sup@v5.2.0_barcode19	DT:Z:2026-04-30T18:13:43.470409+03:00	PU:Z:PBK31970	LB:Z:T88_Amos_Islets_hNL7TSQ1_Riham_DNA	SM:Z:barcode19	al:Z:barcode19,1996,0.8506787330316742,100,541,442,0.9789805570152391,91,1993,1903,0.9789805570152391,91,1993,1903
61,69931762-d1ae-4676-88cb-0cff5a0ea39c	qs:f:19.010082	mx:i:1	ch:i:1725	rn:i:8	st:Z:2026-04-30T18:35:12.543809+03:00	ns:i:205188	ts:i:0	sm:f:93.6924	sd:f:23.506744	sv:Z:pa	du:f:41.0376	pi:Z:c7ebdf47-b434-4929-b67e-9df8b5768dda	sp:i:0	dx:i:0	RG:Z:75a80abf-3a02-4ed1-8549-61876b6c5094_dna_r10.4.1_e8.2_400bps_sup@v5.2.0_barcode19	DT:Z:2026-04-30T18:13:43.470409+03:00	PU:Z:PBK31970	LB:Z:T88_Amos_Islets_hNL7TSQ1_Riham_DNA	SM:Z:barcode19	al:Z:barcode19,17449,0.9348604151753758,90,12662,12573,0.9821639035122182,84,12810,12727,0.9821639035122182,84,12810,12727
62,9e24ea14-7e57-4303-ba64-041a47fd66f9	qs:f:19.819923	mx:i:2	ch:i:436	rn:i:25	st:Z:2026-04-30T18:50:07.809209+03:00	ns:i:42403	ts:i:10	sm:f:93.6924	sd:f:23.506744	sv:Z:pa	du:f:8.4806	dx:i:0	RG:Z:75a80abf-3a02-4ed1-8549-61876b6c5094_dna_r10.4.1_e8.2_400bps_sup@v5.2.0_barcode19	DT:Z:2026-04-30T18:13:43.470409+03:00	PU:Z:PBK31970	LB:Z:T88_Amos_Islets_hNL7TSQ1_Riham_DNA	SM:Z:barcode19	al:Z:barcode19,4297,0.8157832184454481,88,4294,4207,0.8174697365297887,82,4294,4213,0.8174697365297887,82,4294,4213
119,07cc2587-22f4-423c-b9f5-2db475f9e14d	qs:f:20.97722	mx:i:2	ch:i:717	rn:i:19	st:Z:2026-04-30T18:50:14.075809+03:00	ns:i:71936	ts:i:10	sm:f:93.6924	sd:f:23.506744	sv:Z:pa	du:f:14.3872	dx:i:0	RG:Z:75a80abf-3a02-4ed1-8549-61876b6c5094_dna_r10.4.1_e8.2_400bps_sup@v5.2.0_barcode19	DT:Z:2026-04-30T18:13:43.470409+03:00	PU:Z:PBK31970	LB:Z:T88_Amos_Islets_hNL7TSQ1_Riham_DNA	SM:Z:barcode19	al:Z:barcode19,7485,0.9716993906567366,97,7481,7385,0.9983764037342714,91,7481,7391,0.9983764037342714,91,7481,7391
206,80479c4d-7171-4f04-8ad1-411cb4473c4e	qs:f:21.518002	mx:i:2	ch:i:379	rn:i:14	st:Z:2026-04-30T18:49:15.289009+03:00	ns:i:19230	ts:i:10	sm:f:93.6924	sd:f:23.506744	sv:Z:pa	du:f:3.846	dx:i:0	RG:Z:75a80abf-3a02-4ed1-8549-61876b6c5094_dna_r10.4.1_e8.2_400bps_sup@v5.2.0_barcode19	DT:Z:2026-04-30T18:13:43.470409+03:00	PU:Z:PBK31970	LB:Z:T88_Amos_Islets_hNL7TSQ1_Riham_DNA	SM:Z:barcode19	al:Z:barcode19,1766,0.9994029850746269,91,1765,1675,0.9994051160023796,85,1765,1681,0.9994051160023796,85,1765,1681
